CÓDIGO;CNPJ;STATUS
4505;3,78E+13;Regerar OK
3251;4,13E+13;Regerar OK
3266;4,57E+13;Regerar OK
4426;4,83E+13;Regerar OK
4994;4,91E+13;Regerar OK
4996;5,09E+13;Regerar OK
1175;3,39E+13;Regerar OK
4689;4,12E+13;REGERAR ERRO
2963;6,68E+13;Regerar OK
1177;1,16E+13;Regerar OK
38;9,16E+12;Regerar OK
39;3,37E+13;Regerar OK
288;8,64E+12;Regerar OK
1180;2,78E+13;Regerar OK
41;1,50E+13;Regerar OK
1182;2,98E+13;Regerar OK
1184;1,07E+13;Regerar OK
2965;1,19E+13;Regerar OK
4969;4,82E+13;Regerar OK
3689;1,19E+13;Regerar OK
1185;1,05E+13;Regerar OK
1186;1,07E+13;Regerar OK
2964;9,25E+12;Regerar OK
3812;4,16E+13;Regerar OK
47;2,02E+13;Regerar OK
1187;2,68E+13;Regerar OK
48;4,98E+12;Regerar OK
1188;3,00E+13;Regerar OK
1189;1,47E+13;Regerar OK
1190;1,19E+13;Regerar OK
4968;5,23E+13;Regerar OK
1191;5,24E+13;Regerar OK
1192;7,53E+12;Regerar OK
54;3,82E+13;Regerar OK
56;1,11E+13;Regerar OK
1202;3,80E+12;Regerar OK
1370;4,35E+13;Regerar OK
1206;2,83E+13;Regerar OK
1766;1,84E+13;Regerar OK
1954;2,00E+13;Regerar OK
1210;3,59E+13;Regerar OK
2971;9,58E+12;Regerar OK
1213;2,63E+12;Regerar OK
97;8,94E+12;Regerar OK
1215;2,98E+13;Regerar OK
1221;2,74E+13;Regerar OK
109;2,99E+13;Regerar OK
111;3,00E+13;Regerar OK
1236;2,82E+12;Regerar OK
1237;2,82E+12;Regerar OK
1241;9,37E+12;Regerar OK
1755;4,03E+13;Regerar OK
1248;1,57E+13;REGERAR ERRO
215;7,44E+11;Regerar OK
1265;2,61E+13;Regerar OK
1266;2,61E+13;Regerar OK
1272;1,05E+13;Regerar OK
2978;9,38E+12;Regerar OK
1284;1,72E+13;Regerar OK
295;5,57E+12;Regerar OK
1287;1,05E+13;Regerar OK
1228;5,63E+12;Regerar OK
1308;3,84E+12;Regerar OK
3653;4,87E+13;Regerar OK
2983;7,20E+13;Regerar OK
374;2,14E+13;Regerar OK
1326;3,61E+13;Regerar OK
1334;8,09E+12;Regerar OK
1585;7,58E+12;Regerar OK
386;1,04E+12;Regerar OK
#N/D;3,14E+12;Empresa não encontrada
2505;1,05E+13;Regerar OK
1739;1,13E+13;Regerar OK
2000;1,89E+13;Regerar OK
#N/D;3,16E+13;Empresa não encontrada
1597;4,76E+13;Regerar OK
1230;4,61E+12;Regerar OK
2559;5,14E+13;Regerar OK
3399;3,78E+13;Regerar OK
410;6,21E+12;Regerar OK
417;7,23E+12;Regerar OK
#N/D;7,16E+13;Empresa não encontrada
426;1,74E+13;Regerar OK
433;5,78E+12;Regerar OK
437;1,08E+13;Regerar OK
1487;4,46E+13;Regerar OK
448;1,35E+13;Regerar OK
4214;4,55E+13;Regerar OK
2507;1,15E+13;Regerar OK
2228;1,38E+13;REGERAR ERRO
1384;5,78E+13;Regerar OK
478;1,90E+12;Regerar OK
482;4,49E+13;Regerar OK
3000;6,74E+13;Regerar OK
2299;2,92E+13;Regerar OK
1449;1,93E+13;Regerar OK
3001;8,12E+11;Regerar OK
2387;3,12E+13;Regerar OK
1630;6,30E+13;Regerar OK
3004;5,71E+13;Regerar OK
#N/D;9,51E+12;Empresa não encontrada
530;5,32E+13;Regerar OK
2188;2,84E+13;Regerar OK
536;4,28E+12;Regerar OK
537;9,26E+12;Regerar OK
538;2,72E+12;Regerar OK
542;1,17E+12;Regerar OK
#N/D;3,22E+13;Empresa não encontrada
4991;7,64E+12;Regerar OK
1994;6,91E+11;Regerar OK
4815;3,24E+12;Regerar OK
583;1,15E+13;Regerar OK
1495;5,35E+13;Regerar OK
1614;6,54E+12;Regerar OK
#N/D;2,14E+13;Empresa não encontrada
1485;9,34E+13;Regerar OK
1824;2,03E+12;Regerar OK
1608;2,53E+11;Regerar OK
#N/D;2,50E+13;Empresa não encontrada
1546;5,28E+13;Regerar OK
612;1,32E+13;Regerar OK
#N/D;6,68E+11;Empresa não encontrada
#N/D;1,38E+13;Empresa não encontrada
#N/D;2,04E+13;Empresa não encontrada
#N/D;8,39E+12;Empresa não encontrada
#N/D;2,80E+13;Empresa não encontrada
#N/D;2,74E+13;Empresa não encontrada
3029;8,97E+12;Regerar OK
#N/D;2,43E+13;Empresa não encontrada
2189;3,07E+13;REGERAR ERRO
665;3,65E+12;Regerar OK
667;2,26E+13;Regerar OK
3035;2,45E+12;Regerar OK
1547;6,74E+13;Regerar OK
675;1,09E+13;Regerar OK
4142;2,90E+13;Regerar OK
1551;4,82E+13;Regerar OK
2561;1,16E+13;Regerar OK
1618;5,00E+13;Regerar OK
683;3,78E+13;Regerar OK
3041;6,03E+13;Regerar OK
#N/D;3,52E+13;Empresa não encontrada
5038;3,22E+13;Regerar OK
687;4,60E+13;Regerar OK
1592;3,84E+12;Regerar OK
2353;1,94E+13;Regerar OK
2076;1,22E+13;Regerar OK
1251;2,25E+13;Regerar OK
2354;3,97E+13;Regerar OK
725;6,24E+13;Regerar OK
732;2,24E+13;Regerar OK
3286;4,98E+13;Regerar OK
1522;1,92E+12;Regerar OK
803;1,73E+13;Regerar OK
806;7,97E+12;Regerar OK
824;1,55E+13;Regerar OK
825;9,49E+12;Regerar OK
2233;2,00E+13;Regerar OK
883;1,12E+13;Regerar OK
3049;1,02E+13;Regerar OK
3051;1,28E+13;Regerar OK
#N/D;4,57E+12;Empresa não encontrada
1997;1,48E+13;Regerar OK
2116;1,66E+13;Regerar OK
#N/D;3,66E+13;Empresa não encontrada
#N/D;2,04E+13;Empresa não encontrada
983;7,09E+11;Regerar OK
1555;2,04E+13;Regerar OK
1631;5,77E+13;Regerar OK
3597;4,83E+13;Regerar OK
3071;7,16E+13;Regerar OK
1556;5,13E+13;Regerar OK
2444;1,04E+12;Regerar OK
3482;1,42E+13;Regerar OK
1560;1,28E+13;Regerar OK
2161;3,32E+13;Regerar OK
2557;3,32E+12;Regerar OK
1161;9,62E+13;Regerar OK
1759;2,62E+12;Regerar OK
1116;1,21E+13;Regerar OK
1443;1,82E+13;Regerar OK
1606;5,96E+13;Regerar OK
1571;1,08E+13;Regerar OK
1103;4,25E+13;Regerar OK
1096;1,85E+13;Regerar OK
3642;4,87E+13;REGERAR ERRO
1093;1,44E+13;Regerar OK
1092;6,06E+11;Regerar OK
875;8,17E+12;Regerar OK
1075;9,09E+12;Regerar OK
3073;2,30E+13;Regerar OK
2347;2,15E+13;Regerar OK
1586;1,24E+13;Regerar OK
1617;7,10E+12;Regerar OK
1588;6,66E+13;Regerar OK
2140;2,27E+13;REGERAR ERRO
2226;2,09E+13;Regerar OK
1048;1,26E+13;Regerar OK
3217;7,38E+12;Regerar OK
1463;1,11E+13;Regerar OK
1626;4,61E+13;Regerar OK
1806;6,30E+13;Regerar OK
1041;4,35E+12;Regerar OK
1402;2,94E+13;Regerar OK
1025;2,37E+13;Regerar OK
1572;3,50E+12;Regerar OK
1019;5,63E+13;Regerar OK
2030;2,16E+13;Regerar OK
2217;1,12E+13;Regerar OK
3445;4,67E+13;Regerar OK
1602;8,18E+12;Regerar OK
2097;1,07E+13;Regerar OK
1403;8,40E+12;Regerar OK
3439;4,66E+13;REGERAR ERRO
1640;3,47E+12;Regerar OK
1934;4,31E+13;Regerar OK
1004;4,08E+12;Regerar OK
#N/D;1,33E+13;Empresa não encontrada
1577;5,73E+12;Regerar OK
1612;1,24E+13;Regerar OK
1000;9,50E+12;Regerar OK
973;4,93E+12;Regerar OK
1589;9,33E+13;Regerar OK
1578;2,42E+13;Regerar OK
959;2,82E+12;Regerar OK
3211;1,56E+13;Regerar OK
2278;3,64E+13;REGERAR ERRO
932;6,35E+12;Regerar OK
926;2,53E+12;Regerar OK
3097;5,35E+12;Regerar OK
924;2,83E+13;Regerar OK
922;3,57E+12;Regerar OK
921;2,31E+13;Regerar OK
2078;1,54E+12;Regerar OK
904;5,47E+13;Regerar OK
3751;1,50E+13;Regerar OK
880;3,33E+13;Regerar OK
2412;2,52E+13;Regerar OK
2406;9,51E+12;Regerar OK
854;2,16E+13;Regerar OK
2281;1,47E+13;Regerar OK
2062;1,15E+13;Regerar OK
3524;9,66E+13;Regerar OK
2439;2,46E+13;Regerar OK
#N/D;1,50E+13;Empresa não encontrada
1458;4,37E+13;Regerar OK
1613;8,24E+12;Regerar OK
821;1,04E+13;Regerar OK
1583;1,11E+13;Regerar OK
810;1,82E+12;Regerar OK
1582;4,58E+13;Regerar OK
2939;4,46E+13;Regerar OK
3132;2,95E+13;Regerar OK
801;9,42E+12;Regerar OK
1601;1,51E+13;Regerar OK
1553;2,50E+13;Regerar OK
3210;1,26E+13;Regerar OK
1619;6,74E+13;Regerar OK
1628;7,50E+12;Regerar OK
795;4,48E+13;Regerar OK
789;7,78E+12;Regerar OK
1568;1,42E+13;Regerar OK
787;1,21E+13;Regerar OK
783;3,98E+13;Regerar OK
781;2,76E+13;Regerar OK
3540;1,72E+13;Regerar OK
2208;1,15E+13;Regerar OK
1624;6,03E+13;Regerar OK
1633;2,74E+12;Regerar OK
1620;2,74E+12;Regerar OK
766;1,35E+13;Regerar OK
4448;5,16E+13;Regerar OK
3302;5,00E+13;Regerar OK
#N/D;3,42E+13;Empresa não encontrada
1777;3,83E+13;REGERAR ERRO
1790;1,05E+13;Regerar OK
3243;4,17E+13;REGERAR ERRO
1990;3,12E+13;REGERAR ERRO
3694;1,37E+13;Regerar OK
1389;3,46E+13;Regerar OK
1832;3,26E+12;REGERAR ERRO
741;1,17E+13;Regerar OK
2334;3,93E+13;Regerar OK
726;1,80E+13;Regerar OK
1457;4,37E+13;Regerar OK
3119;3,77E+13;Regerar OK
1576;2,73E+12;Regerar OK
1575;2,15E+12;Regerar OK
3631;4,85E+13;Regerar OK
699;6,98E+12;Regerar OK
3235;4,91E+13;Regerar OK
698;6,26E+12;Regerar OK
692;8,83E+12;Regerar OK
2333;4,02E+12;Regerar OK
3121;1,02E+13;Regerar OK
